"Timestamp","How are you affiliated with RPI?","Which gender do you most identify as?","Please specify your ethnicity","Please specify your age range","What range is your annual household income?","Region (Don't base this on RPI unless you live there year round)","Are you registered to vote?","To which party are you registered?","Which Primary or Caucus do you plan to vote in?","How would you broadly describe your political ideology","Who is your first choice in the 2020 Democratic primary election?","Who is your second choice in the 2020 Democratic primary election?","Who has the best chance of beating Donald Trump in the 2020 general election?","How favorably do you view Joe Biden?","How favorably do you view Elizabeth Warren?","How favorably do you view Bernie Sanders?","How favorably do you view Pete Buttigieg?","How favorably do you view Kamala Harris?","How favorably do you view Andrew Yang?","Who is your first choice in the 2020 Republican Primary?","Do you approve of Donald Trump's job as president?","Do you approve or disapprove of the current impeachment inquiry of Donald Trump?","Joe Biden vs Donald Trump ","Elizabeth Warren vs Donald Trump","Bernie Sanders vs Donald Trump ","Pete Buttigieg vs Donald Trump","Kamala Harris vs Donald Trump","Andrew Yang vs Donald Trump ","Who did you vote for in the 2016 Democratic Primary?","Who did you vote for in the 2016 General Election?","Do you think the electoral college is a fair process to elect the president ","What is your number one issue this election cycle?","If a candidate promised to limit peoples access to guns, would you be more or less likely to support that candidate?","How important is it to you that a Presidential candidate prioritizes combating climate change?"
"2019/09/30 3:01:35 PM AST","Current Student","Female","White or Caucasian","22-25","$50,000 to $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Elizabeth Warren","Kamala Harris","Joe Biden","2","5","4","4","4","4","Bill Weld","Disapprove","Neutral or No Opinion","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Bernie Sanders","Hillary Clinton","No","Health Care","More Likely","Very Important"
"2019/09/30 3:03:30 PM AST","Current Student","Female","Other or Mixed Race","18-21","Under $50,000 a year","South","Yes","Republican Party","Republican Primary or Caucus","Moderate","Elizabeth Warren","Joe Biden","Elizabeth Warren","1","1","1","2","3","1","Donald Trump","Neutral or No Opinion","Disapprove","Donald Trump","Donald Trump","Donald Trump","Donald Trump","Donald Trump","Donald Trump","Did not vote/ineligible","Did not vote/ineligible","Yes","Gun Control","More Likely","Very Important"
"2019/09/30 3:15:12 PM AST","Current Student","Female","Asian or Pacific Islander","18-21","Over $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Very Liberal","Pete Buttigieg","Elizabeth Warren","Kamala Harris","3","3","3","5","4","2","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Abortion","Less Likely","Very Important"
"2019/09/30 3:16:37 PM AST","Current Student","Female","White or Caucasian","18-21","$50,000 to $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Elizabeth Warren","Joe Biden","Bernie Sanders","4","4","4","3","3","3","Joe Walsh","Disapprove","Approve","Joe Biden","Donald Trump","Bernie Sanders","Donald Trump","Donald Trump","Donald Trump","Did not vote/ineligible","Hillary Clinton","Unsure","Abortion","More Likely","Very Important"
"2019/09/30 3:31:43 PM AST","Current Student","Female","White or Caucasian","18-21","Over $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Very Liberal","Elizabeth Warren","Joe Biden","Joe Biden","5","5","5","3","3","3","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Hillary Clinton","Hillary Clinton","No","Donald Trump","More Likely","Very Important"
"2019/09/30 4:06:58 PM AST","Current Student","Female","White or Caucasian","18-21","Over $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Elizabeth Warren","Michael Bennet","Joe Biden","5","4","4","5","4","3","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Gun Control","More Likely","Very Important"
"2019/09/30 4:22:00 PM AST","Current Student","Female","White or Caucasian","18-21","$50,000 to $100,000 a year","West","Yes","Independent","Democratic Primary or Caucus","Moderate","Pete Buttigieg","Kamala Harris","Joe Biden","3","4","2","5","5","4","Mark Sanford","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","Unsure","Abortion","No Difference","Very Important"
"2019/09/30 4:59:18 PM AST","Current Student","Male","White or Caucasian","22-25","Over $100,000 a year","NorthEast","Yes","Republican Party","Democratic Primary or Caucus","Moderate","Joe Biden","Pete Buttigieg","Joe Biden","4","3","3","4","3","2","Bill Weld","Disapprove","Approve","Joe Biden","Donald Trump","Donald Trump","Pete Buttigieg","Donald Trump","Donald Trump","Did not vote/ineligible","Did not vote/ineligible","Unsure","Education, College Affordability & College Debt","More Likely","Very Important"
"2019/09/30 6:42:30 PM AST","Current Student","Female","Other or Mixed Race","18-21","Over $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Joe Biden","Elizabeth Warren","Joe Biden","5","5","5","4","4","4","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","Yes","Abortion","More Likely","Very Important"
"2019/09/30 7:34:43 PM AST","Current Student","Female","White or Caucasian","18-21","$50,000 to $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Pete Buttigieg","Joe Biden","Joe Biden","4","3","5","5","3","3","Mark Sanford","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Bernie Sanders","Hillary Clinton","No","Abortion","More Likely","Very Important"
"2019/09/30 11:32:59 PM AST","Current Student","Male","White or Caucasian","18-21","$50,000 to $100,000 a year","NorthEast","Yes","Independent","Unsure","Moderate","Bernie Sanders","Andrew Yang","Bernie Sanders","3","2","5","2","1","3","Bill Weld","Neutral or No Opinion","Disapprove","3rd Party/Write in","3rd Party/Write in","Bernie Sanders","3rd Party/Write in","3rd Party/Write in","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Economics","Less Likely","Very Important"
"2019/10/01 12:52:34 AM AST","Current Student","Male","White or Caucasian","18-21","$50,000 to $100,000 a year","NorthEast","No","Independent","Democratic Primary or Caucus","Very Liberal","Bernie Sanders","Marianne Williamson","Joe Biden","2","3","5","3","1","1","Donald Trump","Disapprove","Neutral or No Opinion","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Education, College Affordability & College Debt","No Difference","Very Important"
"2019/10/01 5:57:02 PM AST","Current Student","Female","White or Caucasian","18-21","Over $100,000 a year","West","Yes","Democratic Party","Democratic Primary or Caucus","Very Liberal","Bernie Sanders","Elizabeth Warren","Bernie Sanders","1","4","5","3","3","2","Mark Sanford","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Health Care","More Likely","Very Important"
"2019/10/01 6:37:57 PM AST","Current Student","Male","White or Caucasian","18-21","$50,000 to $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Very Liberal","Bernie Sanders","Elizabeth Warren","Kamala Harris","1","5","5","3","4","3","Mark Sanford","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Climate Change","More Likely","Very Important"
"2019/10/01 6:42:54 PM AST","Current Student","Non-Binary","Asian or Pacific Islander","18-21","Under $50,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Very Liberal","Bernie Sanders","Elizabeth Warren","Elizabeth Warren","3","4","5","3","3","3","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Climate Change","More Likely","Very Important"
"2019/10/01 7:01:22 PM AST","Current Student","Male","Hispanic or Latino","18-21","Under $50,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Very Liberal","Bernie Sanders","Elizabeth Warren","Elizabeth Warren","1","4","4","1","1","2","Joe Walsh","Disapprove","Neutral or No Opinion","3rd Party/Write in","Elizabeth Warren","Bernie Sanders","3rd Party/Write in","3rd Party/Write in","3rd Party/Write in","Bernie Sanders","Did not vote/ineligible","No","Climate Change","More Likely","Very Important"
"2019/10/01 8:02:28 PM AST","Current Student","Female","White or Caucasian","18-21","Under $50,000 a year","NorthEast","Yes","Republican Party","Unsure","Moderate","Joe Biden","Kamala Harris","Joe Biden","4","2","1","4","4","1","Donald Trump","Neutral or No Opinion","Neutral or No Opinion","Joe Biden","Donald Trump","Donald Trump","Donald Trump","Kamala Harris","Donald Trump","Did not vote/ineligible","Did not vote/ineligible","Unsure","Climate Change","No Difference","Very Important"
"2019/10/01 8:04:25 PM AST","Current Student","Male","White or Caucasian","18-21","$50,000 to $100,000 a year","West","Yes","Independent","Democratic Primary or Caucus","Somewhat Liberal","Kamala Harris","John Delaney","Bernie Sanders","3","4","3","4","5","2","Mark Sanford","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Economics","More Likely","Very Important"
"2019/10/01 8:23:49 PM AST","Current Student","Female","White or Caucasian","18-21","Over $100,000 a year","NorthEast","Yes","Independent","Unsure","Very Liberal","Bernie Sanders","Elizabeth Warren","Bernie Sanders","2","4","5","4","3","3","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","No","Donald Trump","More Likely","Very Important"
"2019/10/01 10:49:23 PM AST","Alumni","Non-Binary","White or Caucasian","26-29","Under $50,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Pete Buttigieg","Kamala Harris","Elizabeth Warren","2","5","3","5","5","1","Joe Walsh","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","3rd Party/Write in","Bernie Sanders","Hillary Clinton","No","Donald Trump","More Likely","Very Important"
"2019/10/02 9:47:27 AM AST","Current Student","Male","Other or Mixed Race","22-25","$50,000 to $100,000 a year","NorthEast","Unsure","Independent","Unsure","Moderate","Andrew Yang","Bernie Sanders","Elizabeth Warren","1","4","4","3","3","5","Joe Walsh","Neutral or No Opinion","Disapprove","Donald Trump","Elizabeth Warren","Bernie Sanders","Donald Trump","Donald Trump","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","Yes","Foreign Policy","More Likely","Very Important"
"2019/10/02 9:50:03 AM AST","Current Student","Female","White or Caucasian","18-21","$50,000 to $100,000 a year","NorthEast","Yes","Democratic Party","Democratic Primary or Caucus","Somewhat Liberal","Elizabeth Warren","Joe Biden","Joe Biden","5","5","4","4","4","4","Mark Sanford","Disapprove","Approve","Joe Biden","Elizabeth Warren","Bernie Sanders","Pete Buttigieg","Kamala Harris","Andrew Yang","Did not vote/ineligible","Did not vote/ineligible","Unsure","Abortion","More Likely","Very Important"
